ANO_ELEICAO,NR_TURNO,SG_UF,NM_MUNICIPIO,SG_PARTIDO,VR_DESPESA_CONTRATADA,VR_PAGTO_DESPESA
2020,1,AC,ACRELÂNDIA,DEM,4000.0,4000.0
2020,1,AC,ACRELÂNDIA,MDB,100431.4,100431.4
2020,1,AC,ACRELÂNDIA,PDT,18030.25,18030.25
2020,1,AC,ACRELÂNDIA,PL,5000.0,5000.0
2020,1,AC,ACRELÂNDIA,PP,44879.45,44879.45
2020,1,AC,ACRELÂNDIA,PROS,15000.0,15000.0
2020,1,AC,ACRELÂNDIA,PSD,39000.0,39000.0
2020,1,AC,ACRELÂNDIA,PSDB,12470.0,12470.0
2020,1,AC,ACRELÂNDIA,SOLIDARIEDADE,0.0,0.0
2020,1,AC,ASSIS BRASIL,MDB,81318.96,81318.96
2020,1,AC,ASSIS BRASIL,PC do B,34999.0,34999.0
2020,1,AC,ASSIS BRASIL,PP,0.0,0.0
2020,1,AC,ASSIS BRASIL,PSB,6000.0,6000.0
2020,1,AC,ASSIS BRASIL,PSD,194000.0,194000.0
2020,1,AC,ASSIS BRASIL,PSDB,10000.0,10000.0
2020,1,AC,ASSIS BRASIL,PT,32199.95,32199.95
2020,1,AC,BRASILÉIA,DC,0.0,0.0
2020,1,AC,BRASILÉIA,MDB,250345.67,250345.67
2020,1,AC,BRASILÉIA,PC do B,0.0,0.0
2020,1,AC,BRASILÉIA,PP,1390.0,1390.0
2020,1,AC,BRASILÉIA,PROS,2416.0,2416.0
2020,1,AC,BRASILÉIA,PSB,13180.64,13180.64
2020,1,AC,BRASILÉIA,PSD,119493.15,119493.15
2020,1,AC,BRASILÉIA,PSDB,96340.98,96340.98
2020,1,AC,BRASILÉIA,PSL,35469.0,35469.0
2020,1,AC,BRASILÉIA,PT,115156.66,115156.66
2020,1,AC,BRASILÉIA,SOLIDARIEDADE,560.0,560.0
2020,1,AC,BUJARI,MDB,10634.8,10634.8
2020,1,AC,BUJARI,PATRIOTA,0.0,0.0
2020,1,AC,BUJARI,PC do B,0.0,0.0
2020,1,AC,BUJARI,PDT,20966.0,20966.0
2020,1,AC,BUJARI,PP,0.0,0.0
2020,1,AC,BUJARI,PROS,1590.0,1590.0
2020,1,AC,BUJARI,PSB,9978.19,9978.18
2020,1,AC,BUJARI,PSD,56809.8,56809.8
2020,1,AC,BUJARI,PSDB,0.0,0.0
2020,1,AC,BUJARI,PT,10081.0,10081.0
2020,1,AC,BUJARI,REPUBLICANOS,15269.23,15219.23
2020,1,AC,BUJARI,SOLIDARIEDADE,49984.0,49984.0
2020,1,AC,CAPIXABA,DEM,131957.74,131957.74
2020,1,AC,CAPIXABA,MDB,75000.0,75000.0
2020,1,AC,CAPIXABA,PDT,0.0,0.0
2020,1,AC,CAPIXABA,PP,0.0,0.0
2020,1,AC,CAPIXABA,PROS,0.0,0.0
2020,1,AC,CAPIXABA,PSD,29996.0,29996.0
2020,1,AC,CAPIXABA,PSDB,0.0,0.0
2020,1,AC,CAPIXABA,PT,15894.0,15894.0
2020,1,AC,CAPIXABA,PTB,6500.0,6500.0
2020,1,AC,CAPIXABA,REPUBLICANOS,0.0,0.0
2020,1,AC,CAPIXABA,SOLIDARIEDADE,0.0,0.0
2020,1,AC,CRUZEIRO DO SUL,AVANTE,21994.0,21994.0
2020,1,AC,CRUZEIRO DO SUL,DC,0.0,0.0
2020,1,AC,CRUZEIRO DO SUL,DEM,500.0,500.0
2020,1,AC,CRUZEIRO DO SUL,MDB,924977.95,924977.95
2020,1,AC,CRUZEIRO DO SUL,PC do B,1000.0,1000.0
2020,1,AC,CRUZEIRO DO SUL,PDT,18305.0,18305.0
2020,1,AC,CRUZEIRO DO SUL,PL,5000.0,5000.0
2020,1,AC,CRUZEIRO DO SUL,PP,285142.09,285142.09
2020,1,AC,CRUZEIRO DO SUL,PROS,7350.0,7350.0
2020,1,AC,CRUZEIRO DO SUL,PSB,13050.0,13050.0
2020,1,AC,CRUZEIRO DO SUL,PSD,199993.0,199993.0
2020,1,AC,CRUZEIRO DO SUL,PSDB,80834.33,80834.33
