SG_UF,NM_MUNICIPIO,QT_VOTOS_NOMINAIS_VALIDOS
AC,ACRELÂNDIA,13331
AC,ASSIS BRASIL,9129
AC,BRASILÉIA,25052
AC,BUJARI,13777
AC,CAPIXABA,11515
AC,CRUZEIRO DO SUL,83388
AC,EPITACIOLÂNDIA,17463
AC,FEIJÓ,30302
AC,JORDÃO,8006
AC,MANOEL URBANO,10538
AC,MARECHAL THAUMATURGO,16419
AC,MÂNCIO LIMA,17759
AC,PLÁCIDO DE CASTRO,18375
AC,PORTO ACRE,18549
AC,PORTO WALTER,10615
AC,RIO BRANCO,511910
AC,RODRIGUES ALVES,17627
AC,SANTA ROSA DO PURUS,5494
AC,SENA MADUREIRA,41962
AC,SENADOR GUIOMARD,26548
AC,TARAUACÁ,36067
AC,XAPURI,16937
AL,ANADIA,17666
AL,ARAPIRACA,210823
AL,ATALAIA,43459
AL,BARRA DE SANTO ANTÔNIO,18112
AL,BARRA DE SÃO MIGUEL,9898
AL,BATALHA,19708
AL,BELO MONTE,8058
AL,BELÉM,5687
AL,BOCA DA MATA,26678
AL,BRANQUINHA,12100
AL,CACIMBINHAS,11042
AL,CAJUEIRO,19343
AL,CAMPESTRE,8260
AL,CAMPO ALEGRE,34024
AL,CAMPO GRANDE,16035
AL,CANAPI,18963
AL,CAPELA,19140
AL,CARNEIROS,9330
AL,CHÃ PRETA,8470
AL,COITÉ DO NÓIA,12964
AL,COLÔNIA LEOPOLDINA,20497
AL,COQUEIRO SECO,8108
AL,CORURIPE,55628
AL,CRAÍBAS,29159
AL,DELMIRO GOUVEIA,52770
AL,DOIS RIACHOS,13558
AL,ESTRELA DE ALAGOAS,15041
AL,FEIRA GRANDE,26705
AL,FELIZ DESERTO,5376
AL,FLEXEIRAS,11560
AL,GIRAU DO PONCIANO,37779
AL,IBATEGUARA,16084
AL,IGACI,26744
AL,IGREJA NOVA,25107
AL,INHAPI,18172
AL,JACARÉ DOS HOMENS,7767
AL,JACUÍPE,8974
AL,JAPARATINGA,10871
AL,JARAMATAIA,7664
AL,JEQUIÁ DA PRAIA,12779
AL,JOAQUIM GOMES,16593
AL,JUNDIÁ,6791
AL,JUNQUEIRO,28548
AL,LAGOA DA CANOA,23597
AL,LIMOEIRO DE ANADIA,26314
AL,MACEIÓ,1130201
AL,MAJOR ISIDORO,21762
AL,MAR VERMELHO,5707
AL,MARAGOGI,31535
AL,MARAVILHA,11046
AL,MARECHAL DEODORO,57880
AL,MARIBONDO,14978
AL,MATA GRANDE,24764
AL,MATRIZ DE CAMARAGIBE,26162
AL,MESSIAS,18918
AL,MINADOR DO NEGRÃO,7364
AL,MONTEIRÓPOLIS,8500
AL,MURICI,25011
AL,NOVO LINO,13962
AL,OLHO D ÁGUA DAS FLORES,18616
AL,OLHO D ÁGUA DO CASADO,10761
AL,OLHO D ÁGUA GRANDE,6752
AL,OLIVENÇA,14027
AL,OURO BRANCO,13094
AL,PALESTINA,7739
AL,PALMEIRA DOS ÍNDIOS,64841
AL,PARICONHA,12765
AL,PARIPUEIRA,16024
AL,PASSO DE CAMARAGIBE,17924
AL,PAULO JACINTO,9221
AL,PENEDO,56570
AL,PIAÇABUÇU,20152
AL,PILAR,38301
AL,PINDOBA,4141
AL,PIRANHAS,26468
AL,PORTO CALVO,30252
AL,PORTO DE PEDRAS,10779
AL,PORTO REAL DO COLÉGIO,15294
AL,POÇO DAS TRINCHEIRAS,14976
AL,PÃO DE AÇÚCAR,26488
AL,QUEBRANGULO,12937
AL,RIO LARGO,83874
AL,ROTEIRO,7273
AL,SANTA LUZIA DO NORTE,8954
AL,SANTANA DO IPANEMA,44148
AL,SANTANA DO MUNDAÚ,12766
AL,SATUBA,17401
AL,SENADOR RUI PALMEIRA,12391
AL,SÃO BRÁS,10642
AL,SÃO JOSÉ DA LAJE,23717
AL,SÃO JOSÉ DA TAPERA,28423
AL,SÃO LUÍS DO QUITUNDE,33461
AL,SÃO MIGUEL DOS CAMPOS,52951
AL,SÃO MIGUEL DOS MILAGRES,11660
AL,SÃO SEBASTIÃO,37021
AL,TANQUE D ARCA,8003
AL,TAQUARANA,19294
AL,TEOTÔNIO VILELA,38399
AL,TRAIPU,24068
AL,UNIÃO DOS PALMARES,61702
AL,VIÇOSA,28740
AL,ÁGUA BRANCA,21391
AM,ALVARÃES,17375
AM,AMATURÁ,10082
AM,ANAMÃ,12963
AM,ANORI,13640
AM,APUÍ,14412
AM,ATALAIA DO NORTE,13078
AM,AUTAZES,41995
AM,BARCELOS,16032
AM,BARREIRINHA,31038
AM,BENJAMIN CONSTANT,32842
AM,BERURI,20918
AM,BOA VISTA DO RAMOS,18801
AM,BOCA DO ACRE,31738
AM,BORBA,33672
AM,CAAPIRANGA,14390
AM,CANUTAMA,14027
AM,CARAUARI,29280
AM,CAREIRO,34890
AM,CAREIRO DA VÁRZEA,25242
AM,COARI,84801
AM,CODAJÁS,23719
AM,EIRUNEPÉ,30174
AM,ENVIRA,15100
AM,FONTE BOA,23723
AM,GUAJARÁ,16686
AM,HUMAITÁ,46700
AM,IPIXUNA,17281
AM,IRANDUBA,55167
AM,ITACOATIARA,100711
AM,ITAMARATI,10911
AM,ITAPIRANGA,13092
AM,JAPURÁ,7521
AM,JURUÁ,10259
AM,JUTAÍ,20471
AM,LÁBREA,35620
AM,MANACAPURU,105637
AM,MANAQUIRI,21487
AM,MANAUS,2816877
AM,MANICORÉ,46239
AM,MARAÃ,14355
AM,MAUÉS,50908
AM,NHAMUNDÁ,22945
AM,NOVA OLINDA DO NORTE,23661
AM,NOVO AIRÃO,17168
AM,NOVO ARIPUANÃ,19234
AM,PARINTINS,98455
AM,PAUINI,15816
AM,PRESIDENTE FIGUEIREDO,32810
AM,RIO PRETO DA EVA,26212
AM,SANTA ISABEL DO RIO NEGRO,9524
AM,SANTO ANTÔNIO DO IÇÁ,25010
AM,SILVES,12241
AM,SÃO GABRIEL DA CACHOEIRA,42760
AM,SÃO PAULO DE OLIVENÇA,28419
AM,SÃO SEBASTIÃO DO UATUMÃ,11583
AM,TABATINGA,51863
AM,TAPAUÁ,18379
AM,TEFÉ,66217
AM,TONANTINS,16435
AM,UARINI,13230
AM,URUCARÁ,18772
AM,URUCURITUBA,20106
AP,AMAPÁ,9339
AP,CALÇOENE,11333
AP,CUTIAS,7971
AP,FERREIRA GOMES,9488
AP,ITAUBAL,12095
AP,LARANJAL DO JARI,39056
AP,MACAPÁ,565597
AP,MAZAGÃO,26049
AP,OIAPOQUE,22478
AP,PEDRA BRANCA DO AMAPARI,14451
AP,PORTO GRANDE,19455
AP,PRACUÚBA,5903
AP,SANTANA,116610
AP,SERRA DO NAVIO,5280
AP,TARTARUGALZINHO,15318
AP,VITÓRIA DO JARI,14927
BA,ABARÉ,11956
BA,ABAÍRA,10215
BA,ACAJUTIBA,18115
BA,ADUSTINA,18002
BA,AIQUARA,6284
BA,ALAGOINHAS,145931
BA,ALCOBAÇA,26231
BA,ALMADINA,7346
BA,AMARGOSA,38570
BA,AMÉLIA RODRIGUES,28522
BA,AMÉRICA DOURADA,19558
BA,ANAGÉ,28180
BA,ANDARAÍ,14476
BA,ANDORINHA,18855
BA,ANGICAL,16544
BA,ANGUERA,14277
BA,ANTAS,14342
BA,ANTÔNIO CARDOSO,17028
BA,ANTÔNIO GONÇALVES,13623
BA,APORÁ,19744
BA,APUAREMA,8908
BA,ARACATU,19866
BA,ARACI,56377
BA,ARAMARI,14117
BA,ARATACA,9589
BA,ARATUÍPE,12926
BA,ARAÇÁS,15908
BA,AURELINO LEAL,14368
BA,BAIANÓPOLIS,18981
BA,BAIXA GRANDE,22631
BA,BANZAÊ,15200
BA,BARRA,53539
BA,BARRA DA ESTIVA,31475
BA,BARRA DO CHOÇA,38820
BA,BARRA DO MENDES,18517
BA,BARRA DO ROCHA,6434
BA,BARREIRAS,142932
BA,BARRO ALTO,17306
BA,BARRO PRETO,9446
BA,BARROCAS,21382
BA,BELMONTE,23774
BA,BELO CAMPO,23840
BA,BIRITINGA,18161
BA,BOA NOVA,17525
BA,BOA VISTA DO TUPIM,19540
BA,BOM JESUS DA LAPA,69396
BA,BOM JESUS DA SERRA,13882
BA,BONINAL,15577
BA,BONITO,19874
BA,BOQUIRA,19863
BA,BOTUPORÃ,15404
BA,BREJOLÂNDIA,10869
BA,BREJÕES,16104
BA,BROTAS DE MACAÚBAS,14051
BA,BRUMADO,74137
BA,BUERAREMA,17933
BA,BURITIRAMA,23674
BA,CAATIBA,7435
BA,CABACEIRAS DO PARAGUAÇU,19874
BA,CACHOEIRA,36399
BA,CACULÉ,27786
BA,CAEM,12052
BA,CAETANOS,14876
BA,CAETITÉ,62475
BA,CAFARNAUM,22327
BA,CAIRU,21173
BA,CALDEIRÃO GRANDE,10686
BA,CAMACÃ,26233
BA,CAMAMU,34272
BA,CAMAÇARI,255243
BA,CAMPO ALEGRE DE LOURDES,35467
BA,CAMPO FORMOSO,85791
BA,CANARANA,30184
BA,CANAVIEIRAS,33332
BA,CANDEAL,11977
BA,CANDEIAS,97768
BA,CANDIBA,15880
BA,CANSANÇÃO,43436
BA,CANUDOS,19911
BA,CANÁPOLIS,13556
BA,CAPELA DO ALTO ALEGRE,14241
BA,CAPIM GROSSO,34585
BA,CARAVELAS,23475
BA,CARAÍBAS,13319
BA,CARDEAL DA SILVA,10884
BA,CARINHANHA,34009
BA,CASA NOVA,79907
BA,CASTRO ALVES,32909
BA,CATOLÂNDIA,7023
BA,CATU,57546
BA,CATURAMA,12276
BA,CENTRAL,20637
BA,CHORROCHÓ,14385
BA,CIPÓ,20833
BA,COARACI,23004
BA,COCOS,23767
BA,CONCEIÇÃO DA FEIRA,25752
BA,CONCEIÇÃO DO ALMEIDA,22411
BA,CONCEIÇÃO DO COITÉ,84402
BA,CONCEIÇÃO DO JACUÍPE,38437
BA,CONDE,27208
BA,CONDEÚBA,21450
BA,CONTENDAS DO SINCORÁ,6894
BA,CORAÇÃO DE MARIA,29769
BA,CORDEIROS,10660
